Time,C0,C1,C2
42.03,587,688,523
42.06,591,691,527
42.10,596,688,513
42.13,587,689,524
42.16,588,689,524
42.19,594,693,529
42.23,592,694,534
42.26,587,688,524
42.29,589,689,525
42.32,600,695,533
42.36,590,692,530
42.39,587,689,524
42.42,589,690,525
42.45,604,698,536
42.49,589,691,528
42.52,587,688,524
42.55,590,690,526
42.58,605,701,538
42.61,589,691,527
42.65,587,688,523
42.68,590,690,526
42.71,587,703,540
42.74,588,690,526
42.78,587,689,523
42.81,590,690,526
42.84,573,705,540
42.87,588,690,526
42.90,587,688,523
42.94,590,690,526
42.97,601,703,539
43.00,588,690,527
43.03,587,688,523
43.06,590,689,525
43.10,605,699,536
43.13,589,691,528
43.16,587,688,523
43.19,589,689,525
43.23,601,696,533
43.26,590,692,530
43.29,587,688,524
43.32,588,689,524
43.36,598,693,530
43.39,591,694,534
43.42,587,688,524
43.45,588,689,524
43.49,595,692,529
43.52,594,696,526
43.55,587,689,525
43.58,588,688,524
43.61,592,691,527
43.65,592,677,530
43.68,588,689,525
43.71,587,688,524
43.74,590,690,526
43.77,593,703,538
43.81,588,690,527
43.84,586,688,523
43.87,589,689,524
43.90,600,695,531
43.94,590,692,531
43.97,586,688,523
44.00,587,688,523
44.03,592,690,526
44.06,592,685,538
44.10,587,689,525
44.13,586,688,522
44.16,588,689,524
44.19,598,694,530
44.23,591,694,534
44.26,587,688,524
44.29,587,688,523
44.32,590,689,525
44.36,598,701,535
44.39,589,691,529
44.42,586,688,523
44.45,588,688,523
44.48,593,691,527
