Time,C0,C1,C2
34.78,502,668,540
34.81,483,667,536
34.84,509,664,535
34.88,503,662,534
34.91,500,662,534
34.94,498,661,533
34.97,497,661,534
35.01,497,661,534
35.04,496,662,537
35.07,497,663,540
35.10,498,665,545
35.13,504,671,538
35.17,511,665,536
35.20,503,663,534
35.23,499,662,534
35.26,497,661,534
35.30,496,661,534
35.33,496,662,536
35.36,496,663,541
35.39,497,667,548
35.42,501,674,539
35.46,492,665,536
35.49,504,663,535
35.52,499,662,534
35.55,497,661,534
35.59,496,662,534
35.62,495,662,536
35.65,496,663,541
35.68,497,667,548
35.72,502,673,539
35.75,502,665,536
35.78,504,663,535
35.81,499,662,534
35.84,497,662,534
35.88,496,661,534
35.91,495,662,535
35.94,495,663,538
35.97,496,664,538
36.00,498,668,547
36.04,501,674,540
36.07,498,667,537
36.10,506,664,536
36.13,501,663,534
36.17,498,662,534
36.20,496,662,534
36.23,496,662,535
36.26,495,662,536
36.29,496,663,540
36.33,496,666,532
36.36,499,651,543
36.39,501,669,538
36.42,509,664,536
36.46,502,663,535
36.49,499,662,534
36.52,497,662,534
36.55,496,662,535
36.59,495,661,535
36.62,495,662,537
36.65,496,663,541
36.68,497,665,534
36.71,498,664,546
36.75,502,675,540
36.78,495,668,538
36.81,509,665,536
36.84,504,664,535
36.88,500,663,535
36.91,498,662,535
36.94,497,662,534
36.97,496,662,535
37.00,496,662,535
37.04,495,662,536
37.07,495,663,538
37.10,496,663,541
37.13,496,665,528
37.17,497,668,549
37.20,499,659,544
37.23,502,673,540
37.26,495,670,539
37.29,505,667,537
37.33,508,665,537
37.36,506,664,536
37.39,504,664,536
37.42,502,664,536
37.46,500,663,535
37.49,499,663,535
37.52,498,663,535
37.55,498,662,535
37.58,497,662,535
37.62,497,662,535
37.65,496,662,535
37.68,496,662,535
37.71,496,662,535
37.75,495,662,536
37.78,495,663,537
37.81,496,663,539
37.84,496,664,543
37.87,497,667,521
37.91,498,666,547
37.94,502,675,541
37.97,487,668,538
38.00,508,665,537
38.04,502,664,536
38.07,499,663,535
38.10,498,663,535
38.13,497,663,535
38.17,496,663,535
38.20,496,662,536
38.23,495,663,536
38.26,495,663,537
38.29,495,664,539
38.33,496,665,543
38.36,496,667,528
38.39,498,664,547
38.42,501,676,542
38.46,493,670,539
38.49,510,666,537
38.52,505,665,536
38.55,501,664,536
38.58,498,663,535
38.62,497,663,535
38.65,496,662,535
38.68,495,663,535
38.71,495,663,536
38.75,495,663,538
38.78,495,664,540
38.81,496,665,533
38.84,497,668,550
38.87,499,652,544
38.91,503,673,540
38.94,483,668,538
38.97,508,666,537
39.00,505,665,537
39.04,502,664,536
39.07,500,664,536
39.10,499,664,535
39.13,498,664,535
39.16,497,663,535
39.20,497,663,535
39.23,496,663,535
39.26,496,663,536
39.29,495,663,536
39.33,495,663,536
39.36,495,663,537
39.39,495,664,539
39.42,496,665,543
39.45,496,667,534
39.49,498,669,547
39.52,502,674,541
39.55,481,669,538
39.58,507,665,537
39.62,501,664,536
39.65,498,664,535
39.68,497,663,535
39.71,496,663,536
39.74,495,663,536
39.78,495,663,537
39.81,495,663,538
39.84,495,664,539
39.87,495,665,541
39.91,496,665,544
39.94,496,667,535
39.97,497,668,537
40.00,498,668,548
40.04,500,655,544
40.07,503,674,541
40.10,489,669,539
40.13,510,667,538
40.16,505,665,537
40.20,501,665,536
40.23,498,664,536
40.26,497,663,536
40.29,496,663,535
40.33,495,663,536
40.36,495,663,536
40.39,495,664,538
40.42,495,665,540
40.45,495,666,542
40.49,496,669,547
40.52,498,658,547
40.55,501,677,543
40.58,502,673,540
40.61,486,669,539
40.65,510,667,538
40.68,507,666,537
40.71,504,665,537
40.74,501,665,537
40.78,500,665,536
40.81,498,664,536
40.84,498,664,536
40.87,497,664,536
40.90,497,664,536
40.94,496,664,536
40.97,496,664,536
41.00,495,664,536
41.03,495,664,536
41.07,495,664,537
41.10,495,664,537
41.13,495,665,538
41.16,495,665,541
41.20,496,666,543
41.23,496,668,529
41.26,497,670,551
41.29,498,659,547
41.32,500,671,544
41.36,502,676,542
41.39,504,674,541
41.42,497,672,540
41.45,491,671,540
41.49,485,671,539
41.52,481,670,540
41.55,483,670,539
41.58,484,670,539
41.61,490,670,539
41.65,497,669,539
