Time,D0,D1,D2
32.17,501,657,588
32.20,525,638,596
32.23,501,657,588
32.27,521,675,607
32.30,501,656,587
32.33,515,667,605
32.36,501,656,587
32.39,509,662,598
32.43,501,657,587
32.46,506,659,593
32.49,502,657,588
32.52,503,658,591
32.56,505,659,589
32.59,503,657,589
32.62,511,662,593
32.65,501,657,588
32.68,493,661,598
32.72,500,655,587
32.75,523,675,568
32.78,500,656,586
32.81,514,667,603
32.85,500,656,586
32.88,507,660,595
32.91,502,657,588
32.94,504,659,591
32.97,502,657,588
33.01,502,658,590
33.04,504,658,588
33.07,503,658,590
33.10,504,657,588
33.13,502,657,590
33.17,503,657,588
33.20,502,658,590
33.23,503,657,588
33.26,503,658,591
33.30,503,657,587
33.33,503,658,591
33.36,503,657,588
33.39,503,658,590
33.43,502,657,587
33.46,501,657,590
33.49,504,658,588
33.52,501,657,589
33.55,507,660,590
33.59,500,656,588
33.62,513,665,594
33.65,499,655,587
33.68,483,637,583
33.72,498,655,586
33.75,516,670,607
33.78,499,655,586
33.81,508,662,597
33.85,500,656,586
33.88,504,659,591
33.91,504,658,589
33.94,500,657,589
33.97,512,664,595
34.01,499,656,587
34.04,522,675,567
34.07,498,655,586
34.10,510,664,601
34.13,499,656,587
34.17,505,660,592
34.20,501,657,587
34.23,501,657,589
34.26,507,661,591
34.30,499,656,587
34.33,482,653,599
34.36,498,655,586
34.39,519,672,603
34.42,498,655,585
34.46,509,663,599
34.49,499,656,586
34.52,504,658,591
34.55,501,657,587
34.59,501,657,589
34.62,506,660,590
34.65,499,656,587
34.68,502,666,596
34.72,498,655,586
34.75,521,664,583
34.78,498,655,585
34.81,513,666,603
34.84,497,655,585
34.88,507,663,600
34.91,498,655,585
34.94,506,663,599
34.97,498,656,586
35.01,509,666,603
35.04,498,655,586
35.07,518,675,579
35.10,498,656,587
35.13,491,656,596
35.17,498,656,587
35.20,511,662,591
35.23,499,657,588
35.26,506,659,589
35.30,500,657,589
35.33,503,658,587
35.36,500,657,589
35.39,502,658,588
35.42,500,657,589
35.46,503,658,588
35.49,499,657,589
35.52,504,659,588
35.55,498,657,588
35.59,508,662,592
35.62,498,656,587
35.65,476,646,599
35.68,498,656,586
35.72,516,671,606
35.75,497,655,584
35.78,504,660,595
35.81,498,656,587
35.84,500,657,589
35.88,504,660,590
35.91,497,656,587
35.94,484,639,596
35.97,499,655,585
36.00,517,670,605
36.04,499,655,585
36.07,507,661,596
36.10,500,656,586
