Time,D0,D1,D2
41.58,450,618,557
41.61,457,623,564
41.65,451,620,558
41.68,452,619,558
41.71,461,627,565
41.74,450,618,557
41.78,463,628,568
41.81,450,619,557
41.84,454,621,560
41.87,456,622,560
41.90,451,619,557
41.94,465,627,547
41.97,450,618,556
42.00,461,627,568
42.03,451,619,557
42.06,455,623,562
42.10,452,621,558
42.13,453,621,560
42.16,455,624,559
42.19,452,621,559
42.23,462,627,563
42.26,451,620,557
42.29,472,627,547
42.32,451,619,557
42.36,462,629,569
42.39,451,620,557
42.42,456,623,562
42.45,453,621,558
42.49,453,621,559
42.52,459,625,562
42.55,451,620,557
42.58,466,605,561
42.61,451,619,557
42.65,464,630,571
42.68,451,619,557
42.71,456,623,562
42.74,453,620,558
42.78,453,621,559
42.81,459,625,562
42.84,451,620,558
42.87,472,625,551
42.90,451,622,557
42.94,462,634,569
42.97,451,620,557
43.00,455,623,562
43.03,453,624,559
43.06,453,627,559
43.10,460,629,563
43.13,451,620,558
43.16,473,637,542
43.19,451,623,558
43.23,461,628,568
43.26,452,620,558
43.29,456,623,563
43.32,453,621,559
43.36,454,621,561
43.39,456,621,560
43.42,453,620,560
43.45,459,623,561
43.49,452,619,559
43.52,462,625,563
43.55,452,619,559
43.58,459,625,566
43.61,452,618,558
43.65,472,631,549
43.68,451,617,558
43.71,465,629,574
43.74,451,617,558
43.77,458,623,565
43.81,453,618,558
43.84,455,620,561
43.87,457,621,561
43.90,452,618,559
43.94,445,602,561
43.97,451,617,558
44.00,462,625,568
44.03,452,618,558
44.06,455,619,561
44.10,458,621,562
44.13,452,617,558
44.16,470,634,577
44.19,452,617,558
44.23,457,621,563
44.26,454,619,559
44.29,453,618,559
44.32,451,606,560
44.36,451,617,557
44.39,460,623,566
44.42,453,618,559
44.45,455,619,560
44.48,458,621,561
