5.59	 C0:722	 C1:750	 C2:204
5.40	 D0:54	 D1:165	 D2:152

5.62	 C0:722	 C1:750	 C2:204
5.43	 D0:54	 D1:165	 D2:152

5.65	 C0:722	 C1:750	 C2:204
5.46	 D0:54	 D1:165	 D2:152

5.68	 C0:722	 C1:750	 C2:204
5.49	 D0:54	 D1:165	 D2:152

5.71	 C0:722	 C1:750	 C2:204
5.52	 D0:54	 D1:165	 D2:152

5.75	 C0:722	 C1:750	 C2:204
5.55	 D0:54	 D1:165	 D2:152

5.78	 C0:722	 C1:750	 C2:204
5.58	 D0:54	 D1:165	 D2:152

5.81	 C0:722	 C1:750	 C2:204
5.61	 D0:54	 D1:165	 D2:152

5.84	 C0:722	 C1:750	 C2:204
5.64	 D0:54	 D1:165	 D2:152

5.87	 C0:722	 C1:750	 C2:204
5.67	 D0:54	 D1:165	 D2:152

5.90	 C0:722	 C1:750	 C2:204
5.70	 D0:54	 D1:165	 D2:152

5.93	 C0:722	 C1:750	 C2:204
5.73	 D0:54	 D1:165	 D2:152

5.96	 C0:722	 C1:750	 C2:204
5.76	 D0:54	 D1:165	 D2:152

5.99	 C0:722	 C1:750	 C2:204
5.79	 D0:54	 D1:165	 D2:153

6.03	 C0:722	 C1:750	 C2:204
5.82	 D0:54	 D1:165	 D2:152

6.06	 C0:722	 C1:750	 C2:204
5.85	 D0:54	 D1:165	 D2:152

6.09	 C0:722	 C1:750	 C2:204
5.88	 D0:54	 D1:165	 D2:153

6.12	 C0:722	 C1:750	 C2:204
5.91	 D0:54	 D1:165	 D2:152

6.15	 C0:722	 C1:750	 C2:204
5.94	 D0:54	 D1:165	 D2:152

6.18	 C0:722	 C1:750	 C2:204
5.97	 D0:54	 D1:165	 D2:152

6.21	 C0:722	 C1:750	 C2:204
6.00	 D0:54	 D1:165	 D2:153

6.24	 C0:722	 C1:750	 C2:204
6.03	 D0:54	 D1:165	 D2:153

6.28	 C0:722	 C1:750	 C2:204
6.06	 D0:54	 D1:165	 D2:153

6.31	 C0:722	 C1:750	 C2:204
6.09	 D0:54	 D1:165	 D2:152

6.34	 C0:721	 C1:750	 C2:204
6.12	 D0:54	 D1:165	 D2:152

6.37	 C0:722	 C1:750	 C2:204
6.16	 D0:54	 D1:165	 D2:152

6.40	 C0:722	 C1:750	 C2:204
6.18	 D0:54	 D1:165	 D2:152

6.43	 C0:722	 C1:750	 C2:204
6.22	 D0:54	 D1:165	 D2:152

6.46	 C0:722	 C1:750	 C2:204
6.25	 D0:54	 D1:165	 D2:152

6.49	 C0:722	 C1:750	 C2:204
