2.85	 D0:22	 D1:113	 D2:69

2.99	 C0:66	 C1:302	 C2:116
2.99	 A0:88	 A1:512	 A2:221
3.09	 B0:233	 B1:327	 B2:138
2.88	 D0:22	 D1:113	 D2:69

3.02	 C0:66	 C1:302	 C2:116
3.02	 A0:88	 A1:512	 A2:221
3.12	 B0:233	 B1:327	 B2:138
2.91	 D0:22	 D1:113	 D2:69

3.05	 C0:66	 C1:302	 C2:116
3.05	 A0:88	 A1:512	 A2:221
3.16	 B0:233	 B1:327	 B2:138
2.94	 D0:22	 D1:113	 D2:69

3.08	 C0:66	 C1:302	 C2:115
3.08	 A0:88	 A1:512	 A2:221
3.19	 B0:233	 B1:327	 B2:138
2.97	 D0:22	 D1:113	 D2:69

3.11	 C0:66	 C1:302	 C2:116
3.11	 A0:88	 A1:512	 A2:221
3.22	 B0:233	 B1:327	 B2:138
3.00	 D0:22	 D1:113	 D2:69

3.14	 C0:66	 C1:302	 C2:116
3.14	 A0:88	 A1:512	 A2:221
3.25	 B0:233	 B1:327	 B2:138
3.03	 D0:22	 D1:113	 D2:69

3.17	 C0:66	 C1:302	 C2:115
3.17	 A0:88	 A1:512	 A2:221
3.28	 B0:233	 B1:327	 B2:138
3.06	 D0:22	 D1:113	 D2:69

3.20	 C0:66	 C1:302	 C2:116
3.20	 A0:88	 A1:512	 A2:221
3.31	 B0:233	 B1:327	 B2:138
3.09	 D0:22	 D1:113	 D2:69

3.23	 C0:66	 C1:302	 C2:116
3.23	 A0:88	 A1:512	 A2:221
3.34	 B0:233	 B1:327	 B2:138
3.12	 D0:22	 D1:113	 D2:69

3.26	 C0:66	 C1:302	 C2:116
3.26	 A0:88	 A1:512	 A2:221
3.37	 B0:233	 B1:327	 B2:138
3.14	 D0:22	 D1:113	 D2:69

3.29	 C0:66	 C1:302	 C2:116
3.29	 A0:88	 A1:512	 A2:221
3.40	 B0:233	 B1:327	 B2:138
3.17	 D0:22	 D1:113	 D2:69

3.32	 C0:66	 C1:302	 C2:116
3.32	 A0:88	 A1:512	 A2:221
3.44	 B0:233	 B1:327	 B2:138
3.20	 D0:22	 D1:113	 D2:69

