3.71	 D0:42	 D1:341	 D2:143
3.71	 A0:44	 A1:357	 A2:102

3.87	 B0:143	 B1:289	 B2:105
3.74	 C0:55	 C1:134	 C2:404
3.74	 D0:42	 D1:341	 D2:143
3.74	 A0:44	 A1:357	 A2:102

3.90	 B0:143	 B1:289	 B2:105
3.77	 C0:55	 C1:134	 C2:404
3.77	 D0:42	 D1:341	 D2:142
3.77	 A0:44	 A1:357	 A2:102

3.94	 B0:143	 B1:289	 B2:105
3.80	 C0:55	 C1:134	 C2:404
3.80	 D0:42	 D1:341	 D2:142
3.80	 A0:44	 A1:357	 A2:101

3.97	 B0:143	 B1:289	 B2:105
3.83	 C0:55	 C1:134	 C2:404
3.83	 D0:42	 D1:341	 D2:142
3.83	 A0:44	 A1:357	 A2:102

4.00	 B0:143	 B1:289	 B2:105
3.86	 C0:55	 C1:134	 C2:404
3.86	 D0:42	 D1:341	 D2:142
3.86	 A0:44	 A1:357	 A2:101

4.03	 B0:143	 B1:289	 B2:105
3.89	 C0:55	 C1:134	 C2:404
3.89	 D0:42	 D1:341	 D2:142
3.89	 A0:44	 A1:357	 A2:101

4.06	 B0:143	 B1:289	 B2:105
3.92	 C0:55	 C1:134	 C2:404
3.92	 D0:42	 D1:341	 D2:142
3.92	 A0:44	 A1:357	 A2:102

4.09	 B0:143	 B1:289	 B2:105
3.95	 C0:55	 C1:134	 C2:404
3.95	 D0:42	 D1:341	 D2:142
3.95	 A0:44	 A1:357	 A2:102

4.12	 B0:143	 B1:289	 B2:105
3.98	 C0:55	 C1:134	 C2:404
3.98	 D0:42	 D1:341	 D2:142
3.98	 A0:44	 A1:357	 A2:102

4.15	 B0:143	 B1:289	 B2:105
4.01	 C0:55	 C1:134	 C2:404
4.01	 D0:42	 D1:341	 D2:142
4.01	 A0:44	 A1:357	 A2:102

4.19	 B0:143	 B1:289	 B2:105
4.04	 C0:55	 C1:134	 C2:404
4.04	 D0:42	 D1:341	 D2:143
4.04	 A0:44	 A1:357	 A2:102

4.22	 B0:143	 B1:289	 B2:105
4.07	 C0:55	 C1:134	 C2:404
4.07	 D0:42	 D1:341	 D2:142
4.07	 A0:44	 A1:357	 A2:101

4.25	 B0:143	 B1:289	 B2:105
4.10	 C0:55	 C1:134	 C2:404
4.10	 D0:42	 D1:341	 D2:142
