3.90	 A0:122	 A1:544	 A2:249
3.90	 B0:287	 B1:400	 B2:157
3.64	 D0:32	 D1:160	 D2:66

3.80	 C0:82	 C1:369	 C2:142
3.94	 A0:122	 A1:544	 A2:249
3.94	 B0:287	 B1:400	 B2:156
3.67	 D0:32	 D1:160	 D2:66

3.83	 C0:82	 C1:369	 C2:142
3.97	 A0:122	 A1:544	 A2:249
3.97	 B0:287	 B1:400	 B2:156
3.70	 D0:32	 D1:160	 D2:66

3.86	 C0:82	 C1:369	 C2:142
4.00	 A0:122	 A1:544	 A2:249
4.00	 B0:288	 B1:400	 B2:156
3.73	 D0:32	 D1:160	 D2:66

3.89	 C0:82	 C1:369	 C2:142
4.03	 A0:123	 A1:544	 A2:249
4.03	 B0:288	 B1:400	 B2:156
3.76	 D0:32	 D1:160	 D2:66

3.92	 C0:82	 C1:370	 C2:142
4.06	 A0:122	 A1:544	 A2:249
4.06	 B0:288	 B1:400	 B2:157
3.79	 D0:32	 D1:160	 D2:66

3.95	 C0:82	 C1:369	 C2:142
4.09	 A0:122	 A1:544	 A2:249
4.09	 B0:287	 B1:400	 B2:156
3.82	 D0:32	 D1:160	 D2:66

3.98	 C0:82	 C1:369	 C2:142
4.12	 A0:123	 A1:544	 A2:250
4.12	 B0:288	 B1:400	 B2:156
3.84	 D0:32	 D1:160	 D2:66

4.01	 C0:82	 C1:369	 C2:142
4.15	 A0:122	 A1:544	 A2:249
4.15	 B0:287	 B1:400	 B2:156
3.87	 D0:32	 D1:160	 D2:66

4.04	 C0:82	 C1:369	 C2:142
4.19	 A0:122	 A1:544	 A2:249
4.19	 B0:288	 B1:400	 B2:156
3.90	 D0:32	 D1:160	 D2:66

4.07	 C0:82	 C1:369	 C2:142
4.22	 A0:122	 A1:544	 A2:249
4.22	 B0:287	 B1:400	 B2:156
3.93	 D0:32	 D1:160	 D2:66

4.10	 C0:82	 C1:370	 C2:142
4.25	 A0:122	 A1:544	 A2:249
4.25	 B0:288	 B1:400	 B2:156
3.96	 D0:32	 D1:160	 D2:66

