4.34	 D0:50	 D1:414	 D2:135
4.34	 A0:50	 A1:380	 A2:109

4.53	 B0:160	 B1:324	 B2:114
4.38	 C0:70	 C1:155	 C2:479
4.38	 D0:50	 D1:414	 D2:135
4.38	 A0:50	 A1:380	 A2:110

4.56	 B0:160	 B1:324	 B2:114
4.41	 C0:70	 C1:155	 C2:479
4.41	 D0:50	 D1:413	 D2:135
4.41	 A0:50	 A1:380	 A2:110

4.59	 B0:160	 B1:323	 B2:114
4.44	 C0:70	 C1:154	 C2:479
4.44	 D0:50	 D1:413	 D2:135
4.44	 A0:50	 A1:380	 A2:109

4.62	 B0:160	 B1:323	 B2:114
4.47	 C0:70	 C1:155	 C2:479
4.47	 D0:50	 D1:413	 D2:135
4.47	 A0:50	 A1:380	 A2:110

4.65	 B0:160	 B1:323	 B2:114
4.50	 C0:70	 C1:155	 C2:479
4.50	 D0:50	 D1:413	 D2:135
4.50	 A0:50	 A1:380	 A2:110

4.68	 B0:160	 B1:324	 B2:114
4.53	 C0:70	 C1:155	 C2:479
4.53	 D0:50	 D1:414	 D2:135
4.53	 A0:50	 A1:380	 A2:110

4.72	 B0:160	 B1:323	 B2:114
4.56	 C0:70	 C1:155	 C2:479
4.56	 D0:50	 D1:414	 D2:135
4.56	 A0:50	 A1:380	 A2:110

4.75	 B0:160	 B1:323	 B2:114
4.59	 C0:70	 C1:154	 C2:479
4.59	 D0:50	 D1:413	 D2:135
4.59	 A0:50	 A1:380	 A2:109

4.78	 B0:160	 B1:323	 B2:114
4.62	 C0:70	 C1:155	 C2:479
4.62	 D0:50	 D1:413	 D2:135
4.62	 A0:50	 A1:380	 A2:109

4.81	 B0:160	 B1:323	 B2:114
4.65	 C0:70	 C1:155	 C2:479
4.65	 D0:50	 D1:414	 D2:135
4.65	 A0:50	 A1:380	 A2:110

4.84	 B0:160	 B1:324	 B2:114
