3.76	 A0:39	 A1:324	 A2:89

4.06	 B0:132	 B1:264	 B2:106
3.92	 C0:55	 C1:142	 C2:374
3.92	 D0:39	 D1:307	 D2:127
3.79	 A0:39	 A1:324	 A2:89

4.09	 B0:132	 B1:264	 B2:106
3.95	 C0:55	 C1:143	 C2:373
3.95	 D0:39	 D1:307	 D2:127
3.82	 A0:39	 A1:324	 A2:88

4.12	 B0:132	 B1:264	 B2:106
3.98	 C0:55	 C1:143	 C2:374
3.98	 D0:39	 D1:307	 D2:127
3.84	 A0:39	 A1:324	 A2:88

4.15	 B0:132	 B1:263	 B2:105
4.01	 C0:55	 C1:143	 C2:374
4.01	 D0:39	 D1:307	 D2:127
3.87	 A0:39	 A1:324	 A2:88

4.19	 B0:132	 B1:263	 B2:106
4.04	 C0:55	 C1:143	 C2:374
4.04	 D0:39	 D1:307	 D2:127
3.90	 A0:39	 A1:324	 A2:89

4.22	 B0:132	 B1:264	 B2:106
4.07	 C0:55	 C1:143	 C2:373
4.07	 D0:39	 D1:307	 D2:127
3.93	 A0:39	 A1:324	 A2:88

4.25	 B0:132	 B1:264	 B2:105
4.10	 C0:55	 C1:143	 C2:374
4.10	 D0:39	 D1:307	 D2:127
3.96	 A0:39	 A1:324	 A2:88

4.28	 B0:133	 B1:264	 B2:106
4.13	 C0:55	 C1:143	 C2:374
4.13	 D0:39	 D1:307	 D2:127
3.99	 A0:39	 A1:324	 A2:88

4.31	 B0:133	 B1:264	 B2:106
4.16	 C0:55	 C1:143	 C2:374
4.16	 D0:39	 D1:307	 D2:127
4.02	 A0:39	 A1:324	 A2:88

4.34	 B0:133	 B1:263	 B2:106
4.19	 C0:55	 C1:143	 C2:373
4.19	 D0:39	 D1:307	 D2:127
4.05	 A0:39	 A1:324	 A2:88

4.37	 B0:132	 B1:264	 B2:106
4.23	 C0:55	 C1:142	 C2:374
4.23	 D0:39	 D1:307	 D2:127
4.08	 A0:39	 A1:324	 A2:89

4.40	 B0:132	 B1:264	 B2:105
4.25	 C0:55	 C1:143	 C2:374
4.25	 D0:39	 D1:307	 D2:127
4.11	 A0:39	 A1:324	 A2:88

4.43	 B0:132	 B1:264	 B2:106
4.28	 C0:55	 C1:143	 C2:374
4.28	 D0:39	 D1:307	 D2:127
4.13	 A0:39	 A1:324	 A2:88

4.47	 B0:132	 B1:264	 B2:106
4.32	 C0:55	 C1:143	 C2:374
4.32	 D0:39	 D1:307	 D2:127
4.16	 A0:39	 A1:324	 A2:88

4.50	 B0:132	 B1:264	 B2:105
4.34	 C0:55	 C1:143	 C2:373
4.34	 D0:39	 D1:307	 D2:127
4.19	 A0:39	 A1:324	 A2:88

4.53	 B0:132	 B1:264	 B2:105
4.38	 C0:55	 C1:143	 C2:374
4.38	 D0:39	 D1:307	 D2:127
4.22	 A0:39	 A1:324	 A2:89

4.56	 B0:133	 B1:264	 B2:106
4.41	 C0:55	 C1:143	 C2:374
4.41	 D0:39	 D1:307	 D2:127
4.25	 A0:39	 A1:324	 A2:89

4.59	 B0:133	 B1:263	 B2:106
4.44	 C0:55	 C1:142	 C2:374
4.44	 D0:39	 D1:307	 D2:127
4.28	 A0:39	 A1:324	 A2:88

4.62	 B0:133	 B1:264	 B2:106
4.47	 C0:55	 C1:143	 C2:374
4.47	 D0:39	 D1:306	 D2:127
4.31	 A0:39	 A1:324	 A2:88

4.65	 B0:133	 B1:264	 B2:105
4.50	 C0:55	 C1:143	 C2:373
4.50	 D0:39	 D1:307	 D2:127
4.34	 A0:39	 A1:324	 A2:88

4.68	 B0:133	 B1:263	 B2:106
4.53	 C0:55	 C1:143	 C2:373
4.53	 D0:39	 D1:307	 D2:127
4.37	 A0:39	 A1:324	 A2:89

4.72	 B0:133	 B1:264	 B2:106
4.56	 C0:55	 C1:143	 C2:374
4.56	 D0:39	 D1:307	 D2:127
4.40	 A0:39	 A1:324	 A2:88

4.75	 B0:133	 B1:263	 B2:106
4.59	 C0:55	 C1:143	 C2:373
4.59	 D0:39	 D1:306	 D2:127
4.43	 A0:38	 A1:324	 A2:88

4.78	 B0:133	 B1:264	 B2:105
4.62	 C0:55	 C1:143	 C2:374
4.62	 D0:39	 D1:307	 D2:127
4.46	 A0:39	 A1:324	 A2:88

4.81	 B0:133	 B1:263	 B2:105
4.65	 C0:55	 C1:143	 C2:374
4.65	 D0:39	 D1:307	 D2:127
4.49	 A0:38	 A1:324	 A2:88

4.84	 B0:133	 B1:264	 B2:106
