3.32	 D0:19	 D1:110	 D2:47

3.47	 C0:58	 C1:263	 C2:113
3.47	 A0:76	 A1:489	 A2:208
3.59	 B0:207	 B1:296	 B2:129
3.35	 D0:19	 D1:110	 D2:47

3.50	 C0:58	 C1:263	 C2:114
3.50	 A0:76	 A1:489	 A2:207
3.62	 B0:207	 B1:296	 B2:129
3.38	 D0:19	 D1:110	 D2:48

3.53	 C0:58	 C1:264	 C2:114
3.53	 A0:76	 A1:489	 A2:208
3.65	 B0:207	 B1:296	 B2:129
3.41	 D0:19	 D1:110	 D2:47

3.56	 C0:58	 C1:263	 C2:114
3.56	 A0:76	 A1:489	 A2:208
3.69	 B0:207	 B1:296	 B2:129
3.44	 D0:19	 D1:110	 D2:47

3.59	 C0:58	 C1:263	 C2:114
3.59	 A0:76	 A1:489	 A2:208
3.72	 B0:207	 B1:296	 B2:128
3.47	 D0:19	 D1:110	 D2:47

3.62	 C0:58	 C1:263	 C2:114
3.62	 A0:76	 A1:489	 A2:208
3.75	 B0:207	 B1:296	 B2:129
3.49	 D0:19	 D1:110	 D2:48

3.65	 C0:59	 C1:263	 C2:114
3.65	 A0:76	 A1:489	 A2:207
3.78	 B0:207	 B1:296	 B2:129
3.52	 D0:19	 D1:110	 D2:47

3.68	 C0:58	 C1:263	 C2:114
3.68	 A0:76	 A1:489	 A2:207
3.81	 B0:207	 B1:296	 B2:128
3.55	 D0:19	 D1:110	 D2:47

3.71	 C0:58	 C1:264	 C2:114
3.71	 A0:76	 A1:489	 A2:208
3.84	 B0:207	 B1:296	 B2:128
3.58	 D0:19	 D1:110	 D2:48

3.74	 C0:58	 C1:263	 C2:113
3.74	 A0:76	 A1:489	 A2:208
3.87	 B0:207	 B1:296	 B2:129
3.61	 D0:19	 D1:110	 D2:48

3.77	 C0:58	 C1:263	 C2:114
3.77	 A0:76	 A1:489	 A2:208
3.90	 B0:207	 B1:296	 B2:129
3.64	 D0:19	 D1:110	 D2:47

3.80	 C0:58	 C1:263	 C2:114
3.80	 A0:76	 A1:489	 A2:208
3.94	 B0:207	 B1:296	 B2:129
3.67	 D0:19	 D1:110	 D2:47

3.83	 C0:58	 C1:263	 C2:114
3.83	 A0:76	 A1:489	 A2:208
3.97	 B0:207	 B1:296	 B2:128
3.70	 D0:19	 D1:110	 D2:48

3.86	 C0:58	 C1:263	 C2:114
3.86	 A0:76	 A1:489	 A2:208
4.00	 B0:207	 B1:296	 B2:129
3.73	 D0:19	 D1:110	 D2:47

3.89	 C0:58	 C1:263	 C2:114
3.89	 A0:76	 A1:489	 A2:208
4.03	 B0:207	 B1:296	 B2:129
3.76	 D0:19	 D1:110	 D2:47

3.92	 C0:58	 C1:263	 C2:114
3.92	 A0:76	 A1:489	 A2:208
4.06	 B0:207	 B1:296	 B2:128
3.79	 D0:19	 D1:110	 D2:47

3.95	 C0:58	 C1:263	 C2:114
3.95	 A0:76	 A1:489	 A2:208
4.09	 B0:207	 B1:296	 B2:129
3.82	 D0:19	 D1:110	 D2:48

3.98	 C0:59	 C1:263	 C2:114
3.98	 A0:76	 A1:489	 A2:208
4.12	 B0:207	 B1:296	 B2:129
3.84	 D0:19	 D1:110	 D2:48

4.01	 C0:58	 C1:263	 C2:114
4.01	 A0:76	 A1:489	 A2:208
4.15	 B0:207	 B1:296	 B2:129
3.87	 D0:19	 D1:110	 D2:48

4.04	 C0:58	 C1:264	 C2:114
4.04	 A0:76	 A1:489	 A2:208
