3.59	 A0:740	 A1:770	 A2:115

3.62	 B0:225	 B1:311	 B2:229
3.50	 C0:58	 C1:140	 C2:360
3.50	 D0:35	 D1:258	 D2:108
3.62	 A0:740	 A1:770	 A2:115

3.65	 B0:229	 B1:311	 B2:229
3.53	 C0:58	 C1:140	 C2:360
3.53	 D0:34	 D1:258	 D2:108
3.65	 A0:740	 A1:770	 A2:115

3.69	 B0:239	 B1:311	 B2:229
3.56	 C0:58	 C1:140	 C2:360
3.56	 D0:34	 D1:258	 D2:108
3.69	 A0:740	 A1:770	 A2:115

3.72	 B0:234	 B1:310	 B2:229
3.59	 C0:58	 C1:141	 C2:360
3.59	 D0:34	 D1:258	 D2:108
3.72	 A0:740	 A1:770	 A2:115

3.75	 B0:222	 B1:310	 B2:229
3.62	 C0:58	 C1:140	 C2:360
3.62	 D0:34	 D1:258	 D2:108
3.75	 A0:740	 A1:770	 A2:115

3.78	 B0:211	 B1:311	 B2:229
3.65	 C0:58	 C1:141	 C2:360
3.65	 D0:34	 D1:258	 D2:108
3.78	 A0:740	 A1:770	 A2:115

3.81	 B0:217	 B1:310	 B2:229
3.68	 C0:58	 C1:141	 C2:360
3.68	 D0:34	 D1:258	 D2:108
3.81	 A0:740	 A1:770	 A2:115

3.84	 B0:222	 B1:311	 B2:229
3.71	 C0:58	 C1:140	 C2:360
3.71	 D0:34	 D1:258	 D2:108
3.84	 A0:740	 A1:770	 A2:115

3.87	 B0:225	 B1:310	 B2:229
3.74	 C0:58	 C1:141	 C2:360
3.74	 D0:34	 D1:258	 D2:108
3.87	 A0:740	 A1:770	 A2:115

3.90	 B0:228	 B1:311	 B2:229
3.77	 C0:58	 C1:140	 C2:360
3.77	 D0:34	 D1:258	 D2:108
3.90	 A0:740	 A1:770	 A2:115

3.94	 B0:238	 B1:310	 B2:229
3.80	 C0:58	 C1:140	 C2:360
3.80	 D0:34	 D1:258	 D2:108
3.94	 A0:740	 A1:770	 A2:115

3.97	 B0:235	 B1:311	 B2:229
3.83	 C0:58	 C1:141	 C2:360
3.83	 D0:34	 D1:258	 D2:108
3.97	 A0:740	 A1:771	 A2:115

4.00	 B0:223	 B1:310	 B2:228
3.86	 C0:58	 C1:140	 C2:360
3.86	 D0:34	 D1:258	 D2:108
4.00	 A0:740	 A1:770	 A2:115

4.03	 B0:211	 B1:310	 B2:229
3.89	 C0:58	 C1:140	 C2:360
3.89	 D0:34	 D1:258	 D2:108
4.03	 A0:740	 A1:770	 A2:115

4.06	 B0:217	 B1:311	 B2:228
3.92	 C0:58	 C1:140	 C2:360
3.92	 D0:34	 D1:258	 D2:108
4.06	 A0:740	 A1:770	 A2:115

4.09	 B0:222	 B1:310	 B2:228
3.95	 C0:58	 C1:140	 C2:360
3.95	 D0:34	 D1:258	 D2:108
4.09	 A0:740	 A1:770	 A2:115

4.12	 B0:225	 B1:310	 B2:229
3.98	 C0:58	 C1:140	 C2:360
3.98	 D0:34	 D1:258	 D2:108
4.12	 A0:740	 A1:770	 A2:115

4.15	 B0:228	 B1:311	 B2:229
4.01	 C0:58	 C1:140	 C2:360
4.01	 D0:34	 D1:258	 D2:108
4.15	 A0:740	 A1:770	 A2:115

4.19	 B0:238	 B1:311	 B2:229
4.04	 C0:58	 C1:141	 C2:360
4.04	 D0:34	 D1:258	 D2:108
4.19	 A0:740	 A1:770	 A2:115

4.22	 B0:235	 B1:311	 B2:228
4.07	 C0:58	 C1:141	 C2:360
4.07	 D0:34	 D1:258	 D2:108
4.22	 A0:740	 A1:770	 A2:115

4.25	 B0:224	 B1:311	 B2:229
4.10	 C0:58	 C1:140	 C2:360
4.10	 D0:35	 D1:258	 D2:108
4.25	 A0:740	 A1:770	 A2:115

4.28	 B0:212	 B1:311	 B2:229
4.13	 C0:58	 C1:140	 C2:360
4.13	 D0:34	 D1:258	 D2:108
4.28	 A0:740	 A1:770	 A2:115

4.31	 B0:216	 B1:311	 B2:229
4.16	 C0:58	 C1:140	 C2:360
4.16	 D0:34	 D1:258	 D2:108
4.31	 A0:740	 A1:770	 A2:115

4.34	 B0:221	 B1:310	 B2:229
4.19	 C0:58	 C1:140	 C2:360
4.19	 D0:34	 D1:258	 D2:108
4.34	 A0:740	 A1:770	 A2:115

4.37	 B0:224	 B1:310	 B2:228
4.23	 C0:58	 C1:141	 C2:360
4.23	 D0:35	 D1:258	 D2:108
4.37	 A0:740	 A1:770	 A2:115

4.40	 B0:227	 B1:310	 B2:229
4.25	 C0:58	 C1:140	 C2:360
4.25	 D0:34	 D1:258	 D2:108
4.40	 A0:740	 A1:770	 A2:115

4.43	 B0:238	 B1:310	 B2:229
4.28	 C0:58	 C1:140	 C2:360
4.28	 D0:34	 D1:258	 D2:108
4.43	 A0:740	 A1:770	 A2:115

4.47	 B0:236	 B1:310	 B2:229
4.32	 C0:58	 C1:140	 C2:360
4.32	 D0:34	 D1:258	 D2:108
4.47	 A0:740	 A1:770	 A2:115

4.50	 B0:225	 B1:310	 B2:228
4.34	 C0:58	 C1:140	 C2:360
4.34	 D0:34	 D1:258	 D2:108
4.50	 A0:740	 A1:770	 A2:115

4.53	 B0:213	 B1:310	 B2:229
4.38	 C0:58	 C1:140	 C2:360
4.38	 D0:35	 D1:258	 D2:108
4.53	 A0:740	 A1:770	 A2:115

4.56	 B0:216	 B1:311	 B2:228
4.41	 C0:59	 C1:140	 C2:360
4.41	 D0:34	 D1:258	 D2:108
4.56	 A0:740	 A1:770	 A2:115

4.59	 B0:221	 B1:310	 B2:229
4.44	 C0:58	 C1:140	 C2:360
4.44	 D0:34	 D1:258	 D2:108
4.59	 A0:740	 A1:770	 A2:115

4.62	 B0:224	 B1:310	 B2:229
4.47	 C0:58	 C1:140	 C2:360
4.47	 D0:35	 D1:258	 D2:108
4.62	 A0:740	 A1:770	 A2:115

4.65	 B0:227	 B1:310	 B2:229
4.50	 C0:58	 C1:140	 C2:360
4.50	 D0:34	 D1:258	 D2:108
4.65	 A0:740	 A1:770	 A2:115

4.68	 B0:237	 B1:310	 B2:229
4.53	 C0:58	 C1:141	 C2:360
4.53	 D0:34	 D1:258	 D2:108
4.68	 A0:740	 A1:770	 A2:115

