6.60	 A0:16	 A1:210	 A2:48	 T:nan

6.60	 B0:69	 B1:140	 B2:60	 T:nan

6.79	 C0:13	 C1:59	 C2:17	 T:22.20

6.20	 D0:9	 D1:134	 D2:62	 T:nan


6.67	 A0:16	 A1:210	 A2:48	 T:nan

6.67	 B0:70	 B1:140	 B2:60	 T:nan

6.87	 C0:13	 C1:60	 C2:16	 T:22.20

6.27	 D0:9	 D1:134	 D2:62	 T:nan


6.75	 A0:16	 A1:210	 A2:49	 T:nan

6.75	 B0:70	 B1:140	 B2:60	 T:nan

6.94	 C0:13	 C1:60	 C2:16	 T:22.20

6.34	 D0:9	 D1:134	 D2:62	 T:nan


6.82	 A0:16	 A1:210	 A2:49	 T:nan

6.82	 B0:70	 B1:140	 B2:60	 T:nan

7.02	 C0:13	 C1:60	 C2:16	 T:22.20

6.41	 D0:9	 D1:134	 D2:62	 T:nan


6.89	 A0:16	 A1:209	 A2:48	 T:nan

6.89	 B0:70	 B1:140	 B2:60	 T:nan

7.09	 C0:13	 C1:60	 C2:16	 T:22.20

6.48	 D0:9	 D1:134	 D2:62	 T:nan


6.96	 A0:16	 A1:210	 A2:48	 T:nan

6.96	 B0:70	 B1:140	 B2:60	 T:nan

7.17	 C0:13	 C1:59	 C2:16	 T:22.20

6.55	 D0:9	 D1:134	 D2:62	 T:nan


7.04	 A0:16	 A1:210	 A2:49	 T:nan

7.04	 B0:70	 B1:140	 B2:60	 T:nan

7.24	 C0:13	 C1:59	 C2:17	 T:22.20

6.62	 D0:9	 D1:134	 D2:62	 T:nan


7.11	 A0:16	 A1:210	 A2:49	 T:nan

7.11	 B0:70	 B1:140	 B2:60	 T:nan

7.32	 C0:13	 C1:59	 C2:16	 T:22.20

6.69	 D0:9	 D1:134	 D2:62	 T:nan


7.18	 A0:16	 A1:210	 A2:49	 T:nan

7.18	 B0:70	 B1:140	 B2:60	 T:nan

7.39	 C0:13	 C1:59	 C2:16	 T:22.20

6.76	 D0:9	 D1:134	 D2:62	 T:nan


7.26	 A0:16	 A1:210	 A2:48	 T:nan

7.26	 B0:70	 B1:140	 B2:60	 T:nan

7.47	 C0:13	 C1:60	 C2:16	 T:22.20

6.83	 D0:9	 D1:134	 D2:62	 T:nan


7.33	 A0:16	 A1:210	 A2:48	 T:nan

7.33	 B0:70	 B1:140	 B2:60	 T:nan

7.54	 C0:13	 C1:60	 C2:16	 T:22.20

6.90	 D0:9	 D1:134	 D2:62	 T:nan


7.40	 A0:16	 A1:210	 A2:48	 T:nan

7.40	 B0:69	 B1:140	 B2:60	 T:nan

7.61	 C0:13	 C1:60	 C2:16	 T:22.20

6.97	 D0:9	 D1:134	 D2:62	 T:nan


7.47	 A0:16	 A1:210	 A2:48	 T:nan

7.47	 B0:70	 B1:140	 B2:60	 T:nan

7.69	 C0:13	 C1:60	 C2:16	 T:22.20

7.05	 D0:9	 D1:134	 D2:62	 T:nan


7.55	 A0:16	 A1:210	 A2:49	 T:nan

7.55	 B0:70	 B1:140	 B2:60	 T:nan

7.76	 C0:13	 C1:59	 C2:16	 T:22.20

7.11	 D0:9	 D1:134	 D2:62	 T:nan


7.62	 A0:15	 A1:210	 A2:48	 T:nan

7.62	 B0:70	 B1:140	 B2:60	 T:nan

7.84	 C0:13	 C1:59	 C2:16	 T:22.20

7.19	 D0:9	 D1:134	 D2:62	 T:nan


7.69	 A0:16	 A1:210	 A2:48	 T:nan

7.69	 B0:69	 B1:140	 B2:60	 T:nan

7.92	 C0:14	 C1:59	 C2:16	 T:22.20

7.26	 D0:9	 D1:134	 D2:62	 T:nan


7.76	 A0:16	 A1:210	 A2:49	 T:nan

7.76	 B0:70	 B1:140	 B2:60	 T:nan

7.99	 C0:13	 C1:60	 C2:16	 T:22.20

7.33	 D0:9	 D1:134	 D2:62	 T:nan


7.84	 A0:16	 A1:210	 A2:49	 T:nan

7.84	 B0:70	 B1:140	 B2:60	 T:nan

8.06	 C0:13	 C1:60	 C2:16	 T:22.20

7.40	 D0:9	 D1:134	 D2:62	 T:nan


7.91	 A0:16	 A1:210	 A2:48	 T:nan

7.91	 B0:70	 B1:140	 B2:60	 T:nan

8.14	 C0:13	 C1:59	 C2:16	 T:22.20

7.47	 D0:9	 D1:134	 D2:62	 T:nan


7.98	 A0:16	 A1:210	 A2:48	 T:nan

7.98	 B0:70	 B1:140	 B2:60	 T:nan

8.21	 C0:13	 C1:59	 C2:16	 T:22.20

7.54	 D0:9	 D1:134	 D2:62	 T:nan


8.07	 A0:16	 A1:210	 A2:48	 T:nan

8.07	 B0:70	 B1:140	 B2:60	 T:nan

8.29	 C0:12	 C1:60	 C2:17	 T:22.20

7.61	 D0:9	 D1:134	 D2:62	 T:nan


8.13	 A0:16	 A1:210	 A2:48	 T:nan

8.13	 B0:70	 B1:140	 B2:60	 T:nan

