6.38	 A0:22	 A1:196	 A2:57	 T:nan
6.27	 B0:79	 B1:135	 B2:59	 T:nan
6.72	 C0:17	 C1:60	 C2:16	 T:22.20
6.16	 D0:11	 D1:130	 D2:73	 T:nan

6.45	 A0:22	 A1:196	 A2:57	 T:nan
6.34	 B0:79	 B1:135	 B2:59	 T:nan
6.79	 C0:17	 C1:59	 C2:17	 T:22.20
6.24	 D0:11	 D1:130	 D2:73	 T:nan

6.53	 A0:22	 A1:196	 A2:57	 T:nan
6.42	 B0:79	 B1:135	 B2:59	 T:nan
6.87	 C0:17	 C1:60	 C2:16	 T:22.20
6.31	 D0:11	 D1:130	 D2:73	 T:nan

6.60	 A0:22	 A1:196	 A2:58	 T:nan
6.49	 B0:79	 B1:135	 B2:59	 T:nan
6.94	 C0:17	 C1:59	 C2:16	 T:22.20
6.38	 D0:11	 D1:130	 D2:73	 T:nan

6.67	 A0:22	 A1:196	 A2:57	 T:nan
6.56	 B0:79	 B1:135	 B2:59	 T:nan
7.02	 C0:16	 C1:59	 C2:17	 T:22.20
6.45	 D0:11	 D1:130	 D2:73	 T:nan

6.75	 A0:22	 A1:196	 A2:57	 T:nan
6.64	 B0:79	 B1:135	 B2:59	 T:nan
7.09	 C0:17	 C1:59	 C2:16	 T:22.20
6.53	 D0:11	 D1:131	 D2:73	 T:nan

6.82	 A0:22	 A1:196	 A2:57	 T:nan
6.71	 B0:79	 B1:135	 B2:59	 T:nan
7.17	 C0:17	 C1:60	 C2:16	 T:22.20
6.60	 D0:11	 D1:130	 D2:73	 T:nan

6.89	 A0:22	 A1:196	 A2:57	 T:nan
6.78	 B0:79	 B1:135	 B2:59	 T:nan
7.24	 C0:17	 C1:60	 C2:16	 T:22.20
6.67	 D0:11	 D1:130	 D2:73	 T:nan

6.96	 A0:22	 A1:196	 A2:57	 T:nan
6.85	 B0:80	 B1:135	 B2:59	 T:nan
7.32	 C0:17	 C1:59	 C2:17	 T:22.20
6.75	 D0:11	 D1:130	 D2:72	 T:nan

7.04	 A0:22	 A1:196	 A2:58	 T:nan
6.93	 B0:80	 B1:135	 B2:59	 T:nan
7.39	 C0:17	 C1:60	 C2:16	 T:22.20
6.82	 D0:11	 D1:130	 D2:73	 T:nan

7.11	 A0:22	 A1:196	 A2:57	 T:nan
7.00	 B0:79	 B1:136	 B2:59	 T:nan
7.47	 C0:17	 C1:59	 C2:16	 T:22.20
6.89	 D0:11	 D1:130	 D2:73	 T:nan

7.18	 A0:22	 A1:196	 A2:57	 T:nan
7.07	 B0:79	 B1:135	 B2:59	 T:nan
7.54	 C0:17	 C1:60	 C2:17	 T:22.20
6.96	 D0:11	 D1:130	 D2:72	 T:nan

7.26	 A0:22	 A1:196	 A2:57	 T:nan
7.15	 B0:80	 B1:135	 B2:59	 T:nan
7.61	 C0:17	 C1:60	 C2:17	 T:22.20
7.04	 D0:11	 D1:130	 D2:73	 T:nan

7.33	 A0:22	 A1:196	 A2:57	 T:nan
7.22	 B0:80	 B1:135	 B2:59	 T:nan
7.69	 C0:16	 C1:60	 C2:16	 T:22.20
7.11	 D0:11	 D1:130	 D2:73	 T:nan

7.40	 A0:22	 A1:196	 A2:57	 T:nan
7.29	 B0:80	 B1:135	 B2:59	 T:nan
7.76	 C0:17	 C1:59	 C2:17	 T:22.20
7.18	 D0:11	 D1:130	 D2:73	 T:nan

7.47	 A0:22	 A1:196	 A2:57	 T:nan
7.36	 B0:80	 B1:135	 B2:59	 T:nan
7.84	 C0:16	 C1:59	 C2:16	 T:22.20
7.26	 D0:11	 D1:131	 D2:72	 T:nan

7.55	 A0:22	 A1:196	 A2:57	 T:nan
7.44	 B0:80	 B1:135	 B2:59	 T:nan
7.92	 C0:17	 C1:59	 C2:16	 T:22.20
7.33	 D0:11	 D1:130	 D2:73	 T:nan

7.62	 A0:22	 A1:196	 A2:58	 T:nan
7.51	 B0:80	 B1:135	 B2:59	 T:nan
7.99	 C0:17	 C1:60	 C2:17	 T:22.20
7.40	 D0:11	 D1:131	 D2:72	 T:nan

7.69	 A0:22	 A1:196	 A2:57	 T:nan
7.58	 B0:80	 B1:135	 B2:59	 T:nan
8.06	 C0:16	 C1:59	 C2:16	 T:22.20
7.47	 D0:11	 D1:130	 D2:72	 T:nan

7.76	 A0:22	 A1:196	 A2:57	 T:nan
7.66	 B0:80	 B1:135	 B2:59	 T:nan
8.14	 C0:17	 C1:60	 C2:16	 T:22.20
7.55	 D0:11	 D1:130	 D2:72	 T:nan

7.84	 A0:23	 A1:196	 A2:57	 T:nan
7.73	 B0:80	 B1:135	 B2:59	 T:nan
8.21	 C0:17	 C1:60	 C2:17	 T:22.20
