7.07	 D0:13	 D1:130	 D2:64	 T:nan

7.18	 A0:22	 A1:198	 A2:56	 T:nan
7.18	 B0:80	 B1:136	 B2:60	 T:nan
7.39	 C0:25	 C1:60	 C2:17	 T:22.60
7.15	 D0:13	 D1:130	 D2:64	 T:nan

7.26	 A0:21	 A1:198	 A2:56	 T:nan
7.26	 B0:80	 B1:136	 B2:60	 T:nan
7.46	 C0:26	 C1:59	 C2:17	 T:22.60
7.22	 D0:13	 D1:130	 D2:65	 T:nan

7.33	 A0:22	 A1:198	 A2:57	 T:nan
7.33	 B0:80	 B1:136	 B2:60	 T:nan
7.54	 C0:26	 C1:59	 C2:17	 T:22.60
7.29	 D0:13	 D1:130	 D2:64	 T:nan

7.40	 A0:21	 A1:198	 A2:56	 T:nan
7.40	 B0:80	 B1:136	 B2:60	 T:nan
7.61	 C0:26	 C1:59	 C2:17	 T:22.60
7.36	 D0:13	 D1:130	 D2:64	 T:nan

7.47	 A0:21	 A1:198	 A2:56	 T:nan
7.47	 B0:80	 B1:135	 B2:60	 T:nan
7.69	 C0:26	 C1:59	 C2:16	 T:22.60
7.44	 D0:13	 D1:130	 D2:64	 T:nan

7.55	 A0:21	 A1:198	 A2:57	 T:nan
7.55	 B0:80	 B1:135	 B2:60	 T:nan
7.76	 C0:26	 C1:60	 C2:17	 T:22.60
7.51	 D0:13	 D1:130	 D2:64	 T:nan

7.62	 A0:21	 A1:198	 A2:57	 T:nan
7.62	 B0:80	 B1:136	 B2:60	 T:nan
7.84	 C0:26	 C1:59	 C2:17	 T:22.60
7.58	 D0:13	 D1:130	 D2:65	 T:nan

7.69	 A0:21	 A1:198	 A2:57	 T:nan
7.69	 B0:80	 B1:136	 B2:60	 T:nan
7.91	 C0:26	 C1:60	 C2:17	 T:22.60
7.66	 D0:13	 D1:130	 D2:64	 T:nan

7.76	 A0:21	 A1:198	 A2:57	 T:nan
7.76	 B0:80	 B1:135	 B2:60	 T:nan
7.99	 C0:26	 C1:59	 C2:16	 T:22.60
7.73	 D0:13	 D1:130	 D2:64	 T:nan

7.84	 A0:21	 A1:198	 A2:56	 T:nan
7.84	 B0:80	 B1:135	 B2:59	 T:nan
8.06	 C0:26	 C1:60	 C2:17	 T:22.60
7.80	 D0:13	 D1:130	 D2:64	 T:nan

7.91	 A0:21	 A1:198	 A2:56	 T:nan
7.91	 B0:80	 B1:136	 B2:60	 T:nan
8.14	 C0:26	 C1:59	 C2:17	 T:22.60
7.87	 D0:13	 D1:130	 D2:64	 T:nan

7.98	 A0:22	 A1:198	 A2:57	 T:nan
7.98	 B0:80	 B1:136	 B2:60	 T:nan
8.21	 C0:26	 C1:59	 C2:16	 T:22.60
7.95	 D0:13	 D1:130	 D2:64	 T:nan

8.07	 A0:21	 A1:198	 A2:57	 T:nan
8.07	 B0:80	 B1:136	 B2:60	 T:nan
8.29	 C0:26	 C1:59	 C2:16	 T:22.60
8.02	 D0:13	 D1:130	 D2:64	 T:nan

8.13	 A0:22	 A1:198	 A2:56	 T:nan
8.13	 B0:80	 B1:136	 B2:59	 T:nan
8.36	 C0:26	 C1:60	 C2:17	 T:22.60
8.09	 D0:13	 D1:130	 D2:64	 T:nan

8.20	 A0:21	 A1:198	 A2:57	 T:nan
8.20	 B0:80	 B1:136	 B2:60	 T:nan
8.44	 C0:26	 C1:60	 C2:16	 T:22.60
8.16	 D0:13	 D1:130	 D2:64	 T:nan

8.27	 A0:21	 A1:198	 A2:56	 T:nan
8.27	 B0:80	 B1:136	 B2:60	 T:nan
8.51	 C0:25	 C1:59	 C2:17	 T:22.60
8.24	 D0:13	 D1:130	 D2:64	 T:nan

8.35	 A0:21	 A1:198	 A2:56	 T:nan
8.35	 B0:80	 B1:136	 B2:60	 T:nan
8.59	 C0:26	 C1:59	 C2:17	 T:22.60
8.31	 D0:13	 D1:130	 D2:64	 T:nan

8.42	 A0:21	 A1:198	 A2:57	 T:nan
8.42	 B0:80	 B1:136	 B2:60	 T:nan
8.66	 C0:26	 C1:60	 C2:17	 T:22.60
8.38	 D0:13	 D1:130	 D2:64	 T:nan

8.49	 A0:21	 A1:198	 A2:57	 T:nan
8.49	 B0:80	 B1:136	 B2:60	 T:nan
8.74	 C0:26	 C1:60	 C2:16	 T:22.60
8.46	 D0:13	 D1:130	 D2:64	 T:nan

8.56	 A0:22	 A1:198	 A2:56	 T:nan
8.56	 B0:80	 B1:136	 B2:60	 T:nan
8.81	 C0:26	 C1:60	 C2:17	 T:22.60
8.53	 D0:13	 D1:130	 D2:64	 T:nan

8.64	 A0:21	 A1:198	 A2:57	 T:nan
8.64	 B0:80	 B1:135	 B2:60	 T:nan
8.89	 C0:26	 C1:60	 C2:17	 T:22.60
8.60	 D0:13	 D1:130	 D2:64	 T:nan

8.71	 A0:21	 A1:198	 A2:56	 T:nan
8.71	 B0:80	 B1:136	 B2:60	 T:nan
8.96	 C0:26	 C1:59	 C2:17	 T:22.60
8.67	 D0:13	 D1:130	 D2:64	 T:nan

8.78	 A0:22	 A1:198	 A2:57	 T:nan
8.78	 B0:80	 B1:135	 B2:60	 T:nan
9.03	 C0:27	 C1:59	 C2:16	 T:22.60
8.75	 D0:13	 D1:130	 D2:64	 T:nan

8.85	 A0:21	 A1:198	 A2:56	 T:nan
8.85	 B0:80	 B1:135	 B2:60	 T:nan
9.11	 C0:26	 C1:59	 C2:16	 T:22.60
