1.10	 A T:21.80
7.84	 C0:16	 C1:75	 C2:18	 T:21.80
7.62	 D0:13	 D1:215	 D2:83	 T:nan

7.94	 A0:28	 A1:185	 A2:68	 T:21.80
7.58	 B0:81	 B1:153	 B2:85	 T:nan
7.91	 C0:16	 C1:75	 C2:18	 T:21.80
7.69	 D0:13	 D1:215	 D2:84	 T:nan

8.03	 A0:28	 A1:185	 A2:67	 T:21.80
7.65	 B0:81	 B1:154	 B2:85	 T:nan
7.99	 C0:16	 C1:75	 C2:18	 T:21.80
7.76	 D0:13	 D1:215	 D2:83	 T:nan

8.09	 A0:28	 A1:185	 A2:68	 T:21.80
7.73	 B0:81	 B1:154	 B2:85	 T:nan
8.06	 C0:16	 C1:75	 C2:18	 T:21.80
7.84	 D0:13	 D1:215	 D2:83	 T:nan

8.17	 A0:27	 A1:185	 A2:68	 T:21.80
7.80	 B0:81	 B1:154	 B2:85	 T:nan
8.14	 C0:16	 C1:75	 C2:19	 T:21.80
7.91	 D0:13	 D1:215	 D2:84	 T:nan

8.25	 A0:28	 A1:185	 A2:67	 T:21.80
7.87	 B0:82	 B1:154	 B2:85	 T:nan
8.21	 C0:16	 C1:75	 C2:18	 T:21.80
7.98	 D0:13	 D1:215	 D2:83	 T:nan

8.32	 A0:28	 A1:185	 A2:68	 T:21.80
7.95	 B0:81	 B1:154	 B2:85	 T:nan
8.29	 C0:16	 C1:75	 C2:19	 T:21.80
8.07	 D0:13	 D1:215	 D2:83	 T:nan

8.40	 A0:28	 A1:185	 A2:67	 T:21.80
8.02	 B0:81	 B1:154	 B2:85	 T:nan
8.36	 C0:16	 C1:75	 C2:19	 T:21.80
8.13	 D0:13	 D1:215	 D2:84	 T:nan

8.48	 A0:28	 A1:185	 A2:67	 T:21.80
8.09	 B0:81	 B1:154	 B2:85	 T:nan
8.44	 C0:16	 C1:75	 C2:18	 T:21.80
8.20	 D0:13	 D1:215	 D2:83	 T:nan

8.56	 A0:28	 A1:185	 A2:67	 T:21.80
8.16	 B0:81	 B1:154	 B2:85	 T:nan
8.51	 C0:16	 C1:75	 C2:19	 T:21.80
8.27	 D0:13	 D1:215	 D2:83	 T:nan

8.63	 A0:27	 A1:185	 A2:68	 T:21.80
8.24	 B0:81	 B1:154	 B2:85	 T:nan
8.59	 C0:16	 C1:75	 C2:18	 T:21.80
8.35	 D0:13	 D1:215	 D2:84	 T:nan

8.71	 A0:27	 A1:185	 A2:67	 T:21.80
8.31	 B0:81	 B1:154	 B2:85	 T:nan
8.66	 C0:16	 C1:75	 C2:19	 T:21.80
8.42	 D0:13	 D1:215	 D2:83	 T:nan

8.79	 A0:27	 A1:185	 A2:67	 T:21.80
8.38	 B0:81	 B1:154	 B2:85	 T:nan
8.74	 C0:16	 C1:75	 C2:18	 T:21.80
8.49	 D0:13	 D1:215	 D2:83	 T:nan

8.86	 A0:27	 A1:185	 A2:67	 T:21.80
8.45	 B0:81	 B1:153	 B2:85	 T:nan
8.81	 C0:16	 C1:75	 C2:18	 T:21.80
