,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_D,D0,D1,D2
301,9.02,50,380,109,9.33,144,290,107,9.02,54,143,373,9.02,34,258,108
302,9.05,50,380,109,9.36,144,290,107,9.05,55,142,373,9.05,34,258,108
303,9.08,50,379,109,9.40,144,289,107,9.08,54,143,373,9.08,35,258,108
304,9.11,50,380,109,9.43,144,290,107,9.11,54,143,373,9.11,34,258,108
305,9.14,50,380,109,9.46,144,290,107,9.14,54,142,373,9.14,34,258,108
306,9.17,50,379,109,9.49,144,290,107,9.17,54,143,373,9.17,34,258,108
307,9.20,50,379,109,9.52,144,290,107,9.20,55,142,373,9.20,34,258,108
308,9.23,50,379,109,9.55,144,290,107,9.23,54,142,373,9.23,34,258,108
309,9.26,50,379,109,9.58,144,290,107,9.26,54,143,373,9.26,34,258,108
310,9.29,50,380,109,9.61,144,290,108,9.29,54,142,373,9.29,34,258,108
311,9.32,50,379,109,9.65,144,290,107,9.32,55,142,373,9.32,34,258,108
312,9.35,50,379,109,9.68,144,290,107,9.35,54,142,373,9.35,34,258,108
313,9.38,50,379,109,9.71,144,290,108,9.38,54,143,373,9.38,34,258,108
314,9.41,50,379,109,9.74,144,290,107,9.41,55,142,373,9.41,34,258,108
315,9.44,50,379,109,9.77,144,290,108,9.44,54,142,373,9.44,34,258,108
316,9.47,50,379,109,9.80,144,290,108,9.47,54,142,373,9.47,34,258,108
317,9.50,50,379,109,9.83,144,290,107,9.50,55,142,373,9.50,34,258,108
318,9.53,50,379,109,9.86,144,290,108,9.53,55,142,373,9.53,34,258,108
319,9.56,50,379,109,9.89,144,290,108,9.56,54,143,373,9.56,34,258,108
320,9.59,50,379,109,9.93,144,290,108,9.59,54,142,373,9.59,34,258,108
321,9.62,50,379,109,9.96,144,290,108,9.62,54,142,373,9.62,34,258,108
322,9.65,50,379,109,9.99,144,290,108,9.65,54,143,373,9.65,34,258,108
323,9.68,50,379,109,10.02,144,290,108,9.68,55,142,373,9.68,34,259,108
324,9.71,50,379,109,10.05,144,290,108,9.71,54,142,373,9.71,34,258,108
325,9.74,50,379,109,10.08,144,290,108,9.74,54,142,373,9.74,34,258,108
326,9.77,50,379,109,10.12,144,290,108,9.77,54,142,373,9.77,35,258,108
