,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_C,C0,C1,C2
247,7.39,45,360,102,7.65,160,323,114,7.39,58,140,359,7.39,58,140,359
248,7.42,45,360,102,7.68,160,323,114,7.42,58,140,359,7.42,58,140,359
249,7.45,45,360,102,7.71,159,324,114,7.45,58,140,359,7.45,58,140,359
250,7.48,45,360,102,7.74,160,323,114,7.48,58,140,359,7.48,58,140,359
251,7.51,45,360,102,7.77,160,323,114,7.51,58,140,360,7.51,58,140,360
252,7.54,45,360,102,7.80,160,323,114,7.54,58,140,359,7.54,58,140,359
253,7.57,45,360,102,7.84,160,323,114,7.57,58,140,359,7.57,58,140,359
254,7.60,45,360,102,7.87,160,323,114,7.60,58,141,359,7.60,58,141,359
255,7.63,46,360,102,7.90,160,323,114,7.63,58,140,359,7.63,58,140,359
256,7.66,45,360,102,7.93,160,323,114,7.66,58,140,359,7.66,58,140,359
257,7.69,45,360,102,7.96,159,323,114,7.69,58,140,359,7.69,58,140,359
258,7.72,45,360,102,7.99,159,323,114,7.72,58,140,359,7.72,58,140,359
259,7.75,45,360,102,8.02,160,323,114,7.75,58,140,359,7.75,58,140,359
260,7.78,45,360,102,8.05,160,323,114,7.78,58,140,360,7.78,58,140,360
261,7.81,45,360,102,8.09,160,323,114,7.81,58,140,360,7.81,58,140,360
262,7.84,46,360,102,8.12,160,324,114,7.84,58,140,359,7.84,58,140,359
263,7.87,45,360,102,8.15,160,323,114,7.87,58,140,359,7.87,58,140,359
264,7.90,46,360,102,8.18,160,323,114,7.90,58,140,359,7.90,58,140,359
265,7.93,46,361,102,8.21,160,324,114,7.93,58,140,360,7.93,58,140,360
266,7.96,45,361,102,8.24,160,324,114,7.96,58,140,359,7.96,58,140,359
267,7.99,46,361,102,8.27,160,324,114,7.99,58,140,359,7.99,58,140,359
268,8.02,45,361,102,8.30,160,324,114,8.02,58,140,359,8.02,58,140,359
269,8.05,45,360,102,8.33,159,324,114,8.05,58,140,360,8.05,58,140,360
270,8.09,46,361,102,8.37,160,324,114,8.09,58,140,360,8.09,58,140,360
271,8.11,46,361,102,8.40,160,324,114,8.11,58,140,360,8.11,58,140,360
272,8.15,45,361,102,8.43,160,324,114,8.15,58,140,360,8.15,58,140,360
273,8.18,46,361,102,8.46,160,323,114,8.18,58,140,359,8.18,58,140,359
274,8.21,46,361,102,8.49,160,323,114,8.21,58,140,360,8.21,58,140,360
275,8.24,46,361,102,8.52,160,323,114,8.24,58,140,360,8.24,58,140,360
276,8.27,46,361,102,8.55,160,324,114,8.27,58,140,359,8.27,58,140,359
277,8.30,46,361,102,8.58,160,323,114,8.30,58,140,359,8.30,58,140,359
278,8.33,46,361,102,8.61,160,323,114,8.33,58,140,359,8.33,58,140,359
279,8.36,45,361,103,8.65,160,323,114,8.36,58,140,359,8.36,58,140,359
280,8.39,46,361,102,8.68,160,323,114,8.39,58,140,360,8.39,58,140,360
281,8.42,45,361,102,8.71,159,323,114,8.42,58,140,359,8.42,58,140,359
282,8.45,46,361,102,8.74,160,324,114,8.45,58,140,359,8.45,58,140,359
283,8.48,46,361,102,8.77,159,323,114,8.48,58,140,360,8.48,58,140,360
284,8.51,46,361,102,8.80,160,323,114,8.51,58,140,359,8.51,58,140,359
285,8.54,46,361,102,8.83,159,324,114,8.54,58,140,360,8.54,58,140,360
286,8.57,46,361,102,8.86,160,323,114,8.57,58,141,360,8.57,58,141,360
287,8.60,46,361,102,8.90,160,323,114,8.60,58,140,359,8.60,58,140,359
288,8.63,46,361,102,8.93,160,323,114,8.63,58,140,359,8.63,58,140,359
289,8.66,46,361,102,8.96,160,324,114,8.66,58,140,359,8.66,58,140,359
