8.25	 C0:17	 C1:74	 C2:19	 T:23.00
8.52	 D0:15	 D1:191	 D2:79	 T:22.70

7.84	 A0:27	 A1:178	 A2:67	 T:nan
8.13	 B0:85	 B1:128	 B2:94	 T:nan
8.32	 C0:17	 C1:74	 C2:19	 T:23.00
8.60	 D0:15	 D1:191	 D2:79	 T:22.70

7.91	 A0:27	 A1:178	 A2:68	 T:nan
8.20	 B0:85	 B1:128	 B2:96	 T:nan
8.40	 C0:17	 C1:74	 C2:19	 T:23.00
8.67	 D0:15	 D1:191	 D2:80	 T:22.70

7.98	 A0:27	 A1:178	 A2:68	 T:nan
8.27	 B0:85	 B1:128	 B2:94	 T:nan
8.47	 C0:17	 C1:74	 C2:19	 T:23.00
8.75	 D0:15	 D1:191	 D2:79	 T:22.70

8.07	 A0:27	 A1:178	 A2:67	 T:nan
8.35	 B0:85	 B1:128	 B2:95	 T:nan
8.55	 C0:17	 C1:74	 C2:19	 T:23.00
8.83	 D0:15	 D1:191	 D2:79	 T:22.70

8.13	 A0:27	 A1:178	 A2:67	 T:nan
8.42	 B0:85	 B1:128	 B2:96	 T:nan
8.62	 C0:17	 C1:74	 C2:19	 T:23.00
8.90	 D0:15	 D1:191	 D2:79	 T:22.70

8.20	 A0:27	 A1:178	 A2:67	 T:nan
8.49	 B0:85	 B1:128	 B2:94	 T:nan
8.70	 C0:17	 C1:74	 C2:19	 T:23.00
8.98	 D0:15	 D1:191	 D2:80	 T:22.70

8.27	 A0:27	 A1:178	 A2:67	 T:nan
8.56	 B0:85	 B1:128	 B2:97	 T:nan
8.77	 C0:17	 C1:74	 C2:19	 T:23.00
9.06	 D0:15	 D1:191	 D2:79	 T:22.70

8.35	 A0:27	 A1:178	 A2:67	 T:nan
8.64	 B0:85	 B1:128	 B2:96	 T:nan
8.85	 C0:17	 C1:74	 C2:19	 T:23.00
9.14	 D0:15	 D1:191	 D2:79	 T:22.70

8.42	 A0:27	 A1:178	 A2:67	 T:nan
8.71	 B0:85	 B1:128	 B2:94	 T:nan
8.92	 C0:17	 C1:74	 C2:19	 T:23.00
9.21	 D0:15	 D1:191	 D2:79	 T:22.70

8.49	 A0:27	 A1:178	 A2:67	 T:nan
8.78	 B0:85	 B1:128	 B2:96	 T:nan
9.00	 C0:17	 C1:74	 C2:19	 T:23.00
